trial_id, eps_id, trips, missed_trips, loss, steps, rh_loss, dh_loss, max_delay, max_queue, CO_abs, CO2_abs, HC_abs, PMx_abs, NOx_abs, fuel_abs, elec_abs, agent_type
0, 0, 70324, 1726, 106.61021799101368, 50001, 44.382160483464766, 22.822769850595932, 2564.47, 103.0, 17146.501752273056, 539410.0059903519, 89.79497813287118, 9.525407350136431, 217.4897931930363, 172052.73814270052, 0.0, actu
0, 1, 70264, 1827, 105.27621427758164, 50001, 42.47789464798232, 22.090465980077706, 2487.79, 103.0, 16957.03156172462, 536325.1086654459, 88.86052053452691, 9.450972930775302, 216.08797323816074, 171068.73101587757, 0.0, actu
0, 0, 2336, 202, 36.59472602739728, 2001, 0, 0, 371.44, 17.0, 6413.809349184938, 358039.36526642885, 36.54850923030815, 5.000558653253415, 133.7400011999144, 114200.34753356496, 0.0, actu
0, 0, 2378, 177, 31.37374684608911, 2001, 0, 0, 204.96, 12.0, 5581.923836074008, 344444.0668111409, 32.44293121867109, 4.665445731286801, 127.54244728847777, 109863.7869725161, 0.0, actu
0, 0, 2335, 179, 34.6999229122056, 2001, 0, 0, 295.48, 13.0, 6114.824746568304, 352915.69337401236, 35.06461805738761, 4.874884817130618, 131.39743862355476, 112566.03264287519, 0.0, actu
0, 0, 2295, 173, 34.389407407407454, 2001, 0, 0, 299.8, 16.0, 6066.005525466669, 352485.5587929678, 34.83197441350763, 4.860116277995637, 131.18113887538158, 112428.82097906808, 0.0, actu
0, 0, 2267, 161, 29.924891927657633, 2001, 0, 0, 139.38, 11.0, 5336.457712010145, 340712.26418909, 31.237819656374047, 4.567648104102335, 125.8046609210408, 108673.43052229377, 0.0, actu
0, 0, 2385, 176, 35.194184486373125, 2001, 0, 0, 247.17, 14.0, 6191.754355065831, 354460.0191082797, 35.45261524025161, 4.91158343144655, 132.0926158171909, 113058.62457055526, 0.0, actu
0, 0, 2343, 167, 30.95376867264186, 2001, 0, 0, 155.75, 12.0, 5514.476820775933, 343841.2730003775, 32.11861408023907, 4.645027351685866, 127.23764566069164, 109671.4958903283, 0.0, actu
0, 0, 2436, 170, 33.750685550082125, 2001, 0, 0, 168.23, 13.0, 5950.572077240978, 351060.22327229555, 34.28951594129732, 4.833360189244653, 130.64389361412165, 111974.14509125707, 0.0, actu
0, 0, 2341, 168, 31.764113626655316, 2001, 0, 0, 231.88, 11.0, 5644.4232088056215, 345605.0938167017, 32.75094062622821, 4.689852138829554, 128.02386645407927, 110234.12551408054, 0.0, actu
0, 0, 2427, 166, 38.31317676143377, 2001, 0, 0, 322.42, 21.0, 6683.7553050123615, 362871.8360670374, 37.89101618541413, 5.120057565306979, 135.95285159497334, 115741.76757663378, 0.0, actu
0, 0, 2344, 176, 30.542615187713306, 2001, 0, 0, 228.88, 13.0, 5453.851618343854, 342783.8840297457, 31.818377457764495, 4.619908993600681, 126.74529695691136, 109334.2182386511, 0.0, actu
0, 0, 2424, 169, 31.333395214521502, 2001, 0, 0, 159.81, 13.0, 5580.792666108499, 344468.3580104523, 32.421940960396064, 4.657864913778881, 127.45812757466973, 109871.54248355444, 0.0, actu
0, 0, 2347, 172, 31.199377929271368, 2001, 0, 0, 222.29, 11.0, 5548.2995770357975, 344029.9872067691, 32.27290311205791, 4.652161897741793, 127.3167638721772, 109731.70340802273, 0.0, actu
